6;COLLEGE TECHNIQUE BILINGUE DE BAMEDJI;4CC2TEFD100281100;Etablissement;1;1;1er Cycle;2;RAS;677343598;BAMENDJI, 132 MBOUDA;1;BAMENDJI;132 MBOUDA;\N
7;COLLEGE EVANGELIQUE POLYVALENT DE BALENA;4CE2WFD101339121;Etablissement;4;1;1er Cycle;6;RAS;674261193;BALENA, 25 MBOUDA;1;BALENA;25 MBOUDA;\N
7;COLLEGE CATHOLIQUE SAINT FRANCOIS D'ASSISE;4CE2WFD111280107;Etablissement;2;1;1er et 2nd Cycles;6;RAS;679464556;BANGANG, 46 BATCHAM;1;BANGANG;46 BATCHAM;\N
7;COLLEGE PROTESTANT BATCHAM;4CE2WFD110286099;Etablissement;4;1;1er et 2nd Cycles;6;RAS;699249398;KONTI, 25 MBOUDA;1;KONTI;25 MBOUDA;\N
7;INSTITUT PRIVE LAIC KUENKAM;4CE2WFD111201087;Etablissement;1;1;1er et 2nd Cycles;6;RAS;674545626;CENTRE URBAIN 1, 83 BATCHAM;1;CENTRE URBAIN 1;83 BATCHAM;URBAINE
9;COLLEGE PRIVE POLYVALENT DE L'UNITE;4CI2WFD100288068;Etablissement;1;1;1er Cycle;6;RAS;233305051;TSUEGWE, 04 MBOUDA;1;TSUEGWE;04 MBOUDA;\N
9;COLLEGE EVANGELIQUE POLYVALENTDE BALATCHI-TIALONG;4CI2WFD111340117;Etablissement;4;1;1er et 2nd Cycles;6;RAS;677841431;BALATCHI, 25 MBOUDA;1;BALATCHI;25 MBOUDA;\N
14;COLLEGE BAPTISTE POLYVALENT DE LA GRACE DU GRAND NORD;1CI2WFD111365116;Etablissement;4;1;1er et 2nd Cycles;6;RAS;222272164;DJAMBOUTOU, 938 GAROUA;1;DJAMBOUTOU;938 GAROUA;\N
14;COLLEGE POLYVALENT DU NORD (COPOL/NORD);1CI2WFD110180090;Etablissement;1;1;1er et 2nd Cycles;6;RAS;695464687;POUMPOUMRE, 910 Garoua;1;POUMPOUMRE;910 Garoua;\N
17;COLLEGE POLYVALENT MOUNGNONE DE LAGDO;1CM2WFD111384122;Etablissement;1;1;1er et 2nd Cycles;6;RAS;691875294;LAGDO, ;1;LAGDO;;\N
17;COLLEGE POLYVALENTLA REUSSITE DE DIEBA;1CM2WFD111399123;Etablissement;1;1;1er et 2nd Cycles;6;RAS;;GOUNA, ;1;GOUNA;;\N
20;COLLEGE PRIVE LAIC D'ENSEIGNEMENT GENERAL ET TECHNIQUE LA GAZELLE;1CQ2WFD100994112;Etablissement;1;1;1er Cycle;6;RAS;;, ;1;;;RURALE
26;MEMORIAL COMPREHENSIVE COLLEGE MEJANG;3CC2TCAD100922089;Etablissement;1;2;1er Cycle;2;RAS;51833648;MEJANG, ;1;MEJANG;;\N
26;KOM COMPREHENSIVE HIGH SCHOOL;3CC2TEAD100203092;Etablissement;1;2;1er Cycle;2;RAS;677615081;ANYANJUA BELO, 214 BAMENDA;1;ANYANJUA BELO;214 BAMENDA;\N
29;GEORGIAN CITY ACADEMY NJINIKOM (GCA);3CI2WAD100199091;Etablissement;1;2;1er Cycle;6;RAS;;, ;1;;;\N
29;SAINT MARIA GORETTI'S VOCATIONAL TECHNICAL COLLEGE;3CI2TEAD110213100;Etablissement;2;2;1er et 2nd Cycles;2;RAS;679479985;NJINIKOM, 82 NJINIKOM;1;NJINIKOM;82 NJINIKOM;\N
30;MANTUM TECHNICAL HIGH SCHOOL ( CATHOLIC CARDINAL TUMI COMPREHENSIVE);3EC2TEAD110204100;Etablissement;1;2;1er et 2nd Cycles;2;RAS;77798252;MANTUM, 52 JAKIRI;1;MANTUM;52 JAKIRI;RURALE
